"pid","grp","duration","entry","exit"
7,"inactive",1,0,21
19,"inactive",1,0,25
20,"inactive",1,0,21
23,"inactive",1,0,23
35,"inactive",1,0,22
36,"inactive",1,1,20
43,"inactive",1,1,24
46,"inactive",1,1,27
49,"inactive",1,1,21
57,"inactive",1,1,25
60,"inactive",1,1,26
72,"inactive",2,2,33
75,"inactive",2,2,25
81,"inactive",2,2,27
86,"inactive",2,2,28
87,"inactive",2,2,29
90,"inactive",2,2,27
91,"inactive",2,2,30
120,"inactive",3,3,32
121,"inactive",3,3,33
123,"inactive",3,3,37
125,"inactive",3,3,36
131,"inactive",3,3,33
132,"inactive",3,3,35
133,"inactive",3,3,32
168,"inactive",4,4,44
176,"inactive",5,5,40
179,"inactive",5,5,40
187,"inactive",5,5,41
188,"inactive",5,5,39
195,"inactive",5,5,44
204,"inactive",5,5,44
233,"inactive",6,6,46
237,"inactive",6,6,50
241,"inactive",7,7,50
258,"inactive",7,7,49
260,"inactive",7,7,49
261,"inactive",7,7,47
263,"inactive",7,7,50
264,"inactive",7,7,48
271,"inactive",8,8,52
275,"inactive",8,8,52
289,"inactive",8,8,51
302,"inactive",9,9,52
311,"inactive",10,10,57
319,"inactive",10,10,56
332,"inactive",10,10,58
335,"inactive",10,10,60
380,"inactive",12,12,64
385,"inactive",12,12,74
388,"inactive",12,12,61
397,"inactive",12,12,70
420,"inactive",13,13,66
421,"inactive",13,13,69
422,"inactive",13,13,69
428,"inactive",13,13,71
429,"inactive",13,13,76
434,"inactive",14,14,73
436,"inactive",14,14,70
445,"inactive",14,14,75
454,"inactive",14,14,73
459,"inactive",15,15,74
460,"inactive",15,15,73
461,"inactive",15,15,75
474,"inactive",15,15,75
489,"inactive",16,16,76
508,"inactive",17,17,78
527,"inactive",17,17,80
534,"inactive",17,17,85
538,"inactive",18,18,83
544,"inactive",18,18,87
554,"inactive",18,18,83
566,"inactive",19,19,90
577,"inactive",19,19,95
582,"inactive",19,19,91
583,"inactive",19,19,91
586,"inactive",19,19,91
589,"inactive",19,19,88
594,"inactive",19,19,92
600,"inactive",20,20,93
611,"inactive",20,20,96
